YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-03,WEEKDAY,5,TRAIN,NS7,43952,2360
2026-03,WEEKDAY,22,TRAIN,TE3,4002,13110
2026-03,WEEKDAY,8,TRAIN,PE7,10371,2454
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,EW2/DT32,20762,14198
2026-03,WEEKDAY,8,TRAIN,NS16,115293,61528
2026-03,WEEKDAY,9,TRAIN,CC24,11281,101487
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,DT24,2400,1206
2026-03,WEEKDAY,10,TRAIN,DT4,3159,869
2026-03,WEEKDAY,23,TRAIN,TE8,2380,3116
2026-03,WEEKDAY,15,TRAIN,PE3,7900,8595
2026-03,WEEKENDS/HOLIDAY,13,TRAIN,DT34,2106,1674
2026-03,WEEKDAY,17,TRAIN,DT20,14651,9645
2026-03,WEEKDAY,13,TRAIN,DT7,3369,4251
2026-03,WEEKDAY,19,TRAIN,NS7,26006,47719
2026-03,WEEKDAY,11,TRAIN,PE5,6478,3016
2026-03,WEEKENDS/HOLIDAY,17,TRAIN,SW3,1087,1157
2026-03,WEEKDAY,10,TRAIN,DT21,7143,11273
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,DT34,1298,2633
2026-03,WEEKENDS/HOLIDAY,23,TRAIN,TE25,175,443
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,EW15,10674,10326
2026-03,WEEKDAY,16,TRAIN,CC11,28580,9759
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,NS9/TE2,22016,18824
2026-03,WEEKENDS/HOLIDAY,10,TRAIN,SE4,2709,1365
2026-03,WEEKENDS/HOLIDAY,5,TRAIN,NS3,1831,172
2026-03,WEEKENDS/HOLIDAY,16,TRAIN,CC14,2912,2974
2026-03,WEEKDAY,18,TRAIN,DT28,40676,29425
2026-03,WEEKDAY,22,TRAIN,TE7,1452,5759
2026-03,WEEKENDS/HOLIDAY,21,TRAIN,NS13,17588,25800
2026-03,WEEKDAY,8,TRAIN,EW11,27340,49772
